ID pvalue
GO:0007599 0.000175645727657804
GO:0042391 0.00018077317666011
GO:0043266 0.000182767316984594
GO:0060055 0.000184343769794533
GO:0021885 0.000187180480617179
GO:0006939 0.000187281025243615
GO:2001057 0.000189100479174053
GO:0051282 0.000189386651437614
GO:0010717 0.000191153179410585
GO:0019827 0.000192614295602583
GO:0010720 0.000192960433574958
GO:0030111 0.000193621761840721
GO:0070527 0.0001942458412769
GO:0032273 0.000200343804492493
GO:0006813 0.000202576715318939
GO:0035633 0.000203809176476963
GO:0043516 0.000203809176476963
GO:0007266 0.000209771340401721
GO:0021795 0.000214070222201833
GO:0090132 0.00021519019111306
GO:0070167 0.000215311146370475
GO:1901800 0.000219382247459336
GO:0098901 0.000221590335054989
GO:1901201 0.000221590335054989
GO:1903828 0.000232446482654244
GO:0045598 0.000239462307529387
GO:0051592 0.000239462307529387
GO:0014874 0.000244133292530424
GO:0045737 0.000244133292530424
GO:0007498 0.000245434702599911
GO:0030323 0.000246211788219667
GO:0010718 0.000250424987790987
GO:1902305 0.000250424987790987
GO:0014897 0.000252880885193908
GO:0097191 0.000253629138590103
